Bakery price[Name],Bakery price[price]
"angbutter","4800"
"tiramisu croissant","4800"
"plain bread","3500"
"croissant","3500"
"pain au chocolat","3500"
"jam","1500"
"ice coffe","4000"
"cacao deep","4000"
"almond croissant","4000"
"gateau chocolat","4000"
"merinque cookies","4000"
"ice coffe latter","4500"
"ice milk tea","4500"
"pandoro","4500"
"lemon ade","4500"
"orange pound","4500"
"valina latte","4500"
"berry ade","4500"
"tiramisu","4500"
"cheese cake","5000"
"wiener","2500"
"delivery fee","2000~4000"
